number,incident_state,made_sla,opened_at,impact,urgency,priority,knowledge,resolved_at,closed_at,vendor,product,country
INC0012692,Active,True,29/3/2016 16:30,2 - Medium,2 - Medium,3 - Moderate,False,13/4/2016 16:41,18/4/2016 16:13,Emerald,Frog,Israel
INC0004687,Active,True,9/3/2016 09:57,2 - Medium,2 - Medium,3 - Moderate,True,17/5/2016 09:50,22/5/2016 10:07,Sapphire,Peacock,Greece
INC0007361,Closed,False,15/3/2016 14:57,2 - Medium,2 - Medium,3 - Moderate,False,3/5/2016 11:16,8/5/2016 12:07,Ruby,LadyBug,Bolivia
INC0007184,Resolved,True,15/3/2016 11:00,2 - Medium,2 - Medium,3 - Moderate,False,15/3/2016 14:20,24/3/2016 19:01,Emerald,Croc,Australia
INC0015443,Closed,True,5/4/2016 11:34,2 - Medium,2 - Medium,3 - Moderate,False,5/4/2016 11:51,10/4/2016 11:59,Emerald,Frog,Chile
INC0008648,Active,True,18/3/2016 09:59,2 - Medium,2 - Medium,3 - Moderate,False,1/4/2016 15:35,6/4/2016 15:59,Emerald,Croc,Colombia
INC0021391,New,True,20/4/2016 14:29,2 - Medium,1 - High,2 - High,False,20/4/2016 19:25,25/4/2016 20:07,Sapphire,Glaucus,Argentina
INC0001370,New,True,2/3/2016 14:34,2 - Medium,2 - Medium,3 - Moderate,True,23/3/2016 11:37,28/3/2016 11:59,Emerald,Frog,Kenya
INC0027789,Active,True,10/5/2016 09:33,2 - Medium,2 - Medium,3 - Moderate,False,10/6/2016 08:18,15/6/2016 09:00,Sapphire,BlueJay,Norway
INC0003213,Resolved,True,7/3/2016 10:08,2 - Medium,2 - Medium,3 - Moderate,True,23/3/2016 09:47,28/3/2016 09:59,Ruby,Shrimp,Portugal
INC0011904,New,True,28/3/2016 11:35,2 - Medium,2 - Medium,3 - Moderate,False,11/4/2016 17:30,16/4/2016 18:07,Emerald,Turtle,Turkey
INC0028885,Resolved,True,12/5/2016 14:54,2 - Medium,2 - Medium,3 - Moderate,False,12/5/2016 15:01,17/5/2016 15:07,Emerald,Boa,Pakistan
INC0018284,New,True,12/4/2016 15:48,2 - Medium,2 - Medium,3 - Moderate,False,18/4/2016 17:01,23/4/2016 17:07,Ruby,Fox,United Kingdom
INC0000102,New,True,29/2/2016 09:06,2 - Medium,2 - Medium,3 - Moderate,True,17/3/2016 16:28,24/3/2016 18:59,Ruby,LadyBug,Czech Republic
INC0008909,Active,True,18/3/2016 15:50,2 - Medium,2 - Medium,3 - Moderate,False,22/3/2016 14:31,27/3/2016 14:59,Sapphire,Peacock,Portugal
